ID,Complaint,Department
4809,Overcrowded buses are running on the the industrial estate route,Public Transport
4810,No specialist doctor visits the Tambaram health center,Health
4811,"Traffic signal is damaged at North Street junction, Pallavaram",Traffic
4812,Burning of waste is causing smoke in Perambur,Environment
4813,No science teacher appointed at Nungambakkam school for 13 months,Education
4814,Illegal tree cutting is happening near Gandhi Street in Nungambakkam,Environment
4815,Water tanker did not arrive in Tambaram as scheduled,Water Supply
4816,Transformer near Market Road in Block C is not working,Electricity
4817,Waterlogging occurs on MG Road during rains,Road Maintenance
4818,Long waiting times reported at Kolathur government hospital,Health
4819,School in the government school area lacks proper toilet facilities,Education
4820,Streetside electric meter is sparking in Kodambakkam,Electricity
4821,Transformer near Bypass Road in the industrial estate is not working,Electricity
4822,3 street lights have been off for weeks near Ring Road,Street Lighting
4823,Open manhole causing danger on MG Road in Guindy,Public Safety
4824,Illegal dumping of waste is happening near Ring Road,Waste Management
4825,Illegal sand mining reported near Saidapet,Environment
4826,School building near Nehru Street needs urgent repair,Education
4827,"Street lights remain on during daytime in the industrial estate, wasting power",Street Lighting
4828,Hospital in Egmore has no doctors available,Health
4829,No science teacher appointed at Pallavaram school for 12 months,Education
4830,Dead animal left uncollected on School Lane in T Nagar,Waste Management
4831,Abandoned building near Nehru Street is unsafe for children,Public Safety
4832,Mid day meal quality is poor at the government school area school,Education
4833,Water pipe burst near North Street in Nungambakkam,Water Supply
4834,School lacks drinking water facility in Velachery,Education
4835,Borewell in the panchayat office area has run dry,Water Supply
4836,School in Sector 5 lacks proper toilet facilities,Education
4837,Water pipe burst near Market Road in Velachery,Water Supply
4838,Primary health center in Alwarpet is understaffed,Health
4839,Bus conductor misbehaved with passengers on Pallavaram route,Public Transport
4840,"No footpath available on Gandhi Street, pedestrians face danger",Road Maintenance
4841,Huge potholes on MG Road in Anna Nagar,Road Maintenance
4842,"Street lights remain on during daytime in the panchayat office area, wasting power",Street Lighting
4843,Corruption reported in distribution of government scheme benefits in Sector 5,Corruption
4844,Huge potholes on Church Street in Egmore,Road Maintenance
4845,No specialist doctor visits the Royapettah health center,Health
4846,Government hospital near Nehru Street lacks basic medicines,Health
4847,Vaccination camp was cancelled without notice in Ambattur,Health
4848,Vaccination camp was cancelled without notice in Pallavaram,Health
4849,Public dustbin near North Street is broken and overflowing,Waste Management
4850,Overhead tank in Perambur has not been cleaned in months,Water Supply
4851,Last bus timing has been cancelled for Chromepet,Public Transport
4852,Water tanker did not arrive in Alwarpet as scheduled,Water Supply
4853,Streetside electric meter is sparking in Saidapet,Electricity
4854,School building near Ring Road needs urgent repair,Education
4855,Garbage collection truck has not come to Porur for 6 days,Waste Management
4856,Voltage fluctuation is damaging appliances in Vadapalani,Electricity
4857,Water tanker did not arrive in Sector 5 as scheduled,Water Supply
4858,Overhead tank in the railway station road has not been cleaned in months,Water Supply
4859,No security personnel at the public park in Anna Nagar,Public Safety
4860,Billing error in electricity charges for Anna Nagar residents,Electricity
4861,Open manhole causing danger on South Street in Porur,Public Safety
4862,Electric pole near Station Road is leaning dangerously,Electricity
4863,Official at the Alwarpet office is demanding money for a certificate,Corruption
4864,Dark stretch on Nehru Street due to broken street lights,Street Lighting
4865,Road divider near Gandhi Street is broken,Road Maintenance
4866,Overhead tank in Anna Nagar has not been cleaned in months,Water Supply
4867,Ambulance service is delayed in the government school area,Health
4868,A clerk is taking bribes for water connection approvals in the railway station road,Corruption
4869,Open manhole causing danger on Ring Road in Nungambakkam,Public Safety
4870,Huge potholes on Nehru Street in the housing board colony,Road Maintenance
4871,Illegal tree cutting is happening near Church Street in the housing board colony,Environment
4872,Street light flickers continuously on South Street,Street Lighting
4873,11 street lights have been off for weeks near Gandhi Street,Street Lighting
4874,Public dustbin near Station Road is broken and overflowing,Waste Management
4875,Bus stop shelter near Park Avenue is damaged,Public Transport
4876,Bus frequency has reduced drastically on Velachery route,Public Transport
4877,Textbooks not distributed on time in Saidapet schools,Education
4878,Bus service is irregular on the Block C route,Public Transport
4879,Teacher is absent regularly at the Ambattur government school,Education
4880,Abandoned building near Station Road is unsafe for children,Public Safety
4881,"No signal at the school crossing near Market Road, Mylapore",Traffic
4882,Overhead tank in the railway station road has not been cleaned in months,Water Supply
4883,Someone demanded a bribe for approval of a document in the main market road,Corruption
4884,No water connection provided despite application in Saidapet,Water Supply
4885,Primary health center in Anna Nagar is understaffed,Health
4886,Overcrowded buses are running on the Alwarpet route,Public Transport
4887,4 street lights have been off for weeks near Main Road,Street Lighting
4888,Overcrowded classrooms reported in near the temple government school,Education
4889,"Street lights remain on during daytime in T Nagar, wasting power",Street Lighting
4890,Mid day meal quality is poor at Alwarpet school,Education
4891,Overcrowded classrooms reported in Mylapore government school,Education
4892,Public dustbin near Bazaar Street is broken and overflowing,Waste Management
4893,No science teacher appointed at Kolathur school for 8 months,Education
4894,No waste collection service provided in T Nagar colony,Waste Management
4895,Street light wiring is exposed and dangerous in Ward 12,Street Lighting
4896,"Street lights remain on during daytime in Guindy, wasting power",Street Lighting
4897,Hospital in the old bus stand area lacks cleanliness and hygiene,Health
4898,Zebra crossing markings have faded on MG Road,Traffic
4899,No waste collection service provided in the main market road colony,Waste Management
4900,Water tanker did not arrive in the panchayat office area as scheduled,Water Supply
4901,Signboards are missing at the Station Road intersection,Traffic
4902,Illegal parking is causing traffic jams on Station Road,Traffic
4903,Hospital in Sector 5 lacks cleanliness and hygiene,Health
4904,Road divider near Park Avenue is broken,Road Maintenance
4905,Dead animal left uncollected on Gandhi Street in T Nagar,Waste Management
4906,A clerk asked for extra money to process ration card in Adyar,Corruption
4907,Water pipe burst near Market Road in the old bus stand area,Water Supply
4908,Teacher is absent regularly at the Porur government school,Education
4909,Traffic signal timing is too short at Bypass Road,Traffic
4910,Illegal parking is causing traffic jams on Market Road,Traffic
4911,Solar street lights installed in Tambaram are non functional,Street Lighting
4912,Bus service is irregular on the the government school area route,Public Transport
4913,Auto drivers are refusing to use the meter near North Street,Public Transport
