Complaint,Department,Label
Illegal tree cutting is happening near Park Avenue in Guindy,Environment,3
Waterlogging occurs on Ring Road during rains,Road Maintenance,7
Mid day meal quality is poor at the old bus stand area school,Education,1
Electricity is unavailable in Mylapore for the past 9 days,Electricity,2
Public dustbin near Station Road is broken and overflowing,Waste Management,10
Bribe was demanded for issuing a building permit in Tambaram,Corruption,0
Billing error in electricity charges for Royapettah residents,Electricity,2
Illegal sand mining reported near the main market road,Environment,3
Electric pole near Bazaar Street is leaning dangerously,Electricity,2
Leaking pipeline is wasting water on Temple Street,Water Supply,11
Someone demanded a bribe for approval of a document in T Nagar,Corruption,0
8 street lights have been off for weeks near Park Avenue,Street Lighting,8
Overcrowded classrooms reported in near the temple government school,Education,1
Road near Park Avenue has not been repaired after monsoon,Road Maintenance,7
Corruption reported in distribution of government scheme benefits in Mylapore,Corruption,0
Mid day meal quality is poor at Sector 5 school,Education,1
Electric pole near School Lane is leaning dangerously,Electricity,2
Encroachment on the lake near Sector 5 is destroying wetlands,Environment,3
No specialist doctor visits the Ward 12 health center,Health,4
Vaccination camp was cancelled without notice in near the temple,Health,4
New electricity connection is delayed in Chromepet,Electricity,2
Illegal sand mining reported near Phase 2,Environment,3
Electric pole near Temple Street is leaning dangerously,Electricity,2
Encroachment on the lake near Guindy is destroying wetlands,Environment,3
Bus conductor misbehaved with passengers on Velachery route,Public Transport,6
Unsafe construction site near Park Avenue lacks barricades,Public Safety,5
Last bus timing has been cancelled for Ward 12,Public Transport,6
Noise pollution from construction near Nehru Street at night,Environment,3
Hospital in Pallavaram lacks cleanliness and hygiene,Health,4
School in Saidapet lacks proper toilet facilities,Education,1
Waterlogging occurs on Church Street during rains,Road Maintenance,7
Public dustbin near Bazaar Street is broken and overflowing,Waste Management,10
Solar street lights installed in Chromepet are non functional,Street Lighting,8
Overcrowded classrooms reported in Perambur government school,Education,1
There is no drinking water in Kodambakkam for the past 7 days,Water Supply,11
Hospital in Ambattur lacks cleanliness and hygiene,Health,4
Bus conductor misbehaved with passengers on near the temple route,Public Transport,6
No traffic police present at busy junction near Park Avenue,Traffic,9
"No signal at the school crossing near Church Street, the government school area",Traffic,9
"No footpath available on South Street, pedestrians face danger",Road Maintenance,7
School in Royapettah lacks proper toilet facilities,Education,1
Hospital in the old bus stand area has no doctors available,Health,4
Mid day meal quality is poor at Royapettah school,Education,1
Ambulance service is delayed in Porur,Health,4
Air pollution levels are high near the factory in Porur,Environment,3
Street light wiring is exposed and dangerous in the housing board colony,Street Lighting,8
"Street lights remain on during daytime in Alwarpet, wasting power",Street Lighting,8
No specialist doctor visits the the government school area health center,Health,4
Live wire lying on Nehru Street poses electrocution risk,Public Safety,5
A government official asked for extra money to process ration card in the government school area,Corruption,0
"Traffic signal is damaged at Bypass Road junction, the industrial estate",Traffic,9
Bribe was demanded for issuing a building permit in Sector 5,Corruption,0
Bribe was demanded for issuing a building permit in Ward 12,Corruption,0
Garbage is overflowing near Ring Road in Sector 5,Waste Management,10
School in Phase 2 lacks proper toilet facilities,Education,1
Waterlogging occurs on South Street during rains,Road Maintenance,7
No science teacher appointed at Chromepet school for 7 months,Education,1
Water tanker did not arrive in Guindy as scheduled,Water Supply,11
Illegal parking is causing traffic jams on Temple Street,Traffic,9
Hospital in Phase 2 has no doctors available,Health,4
Bus conductor misbehaved with passengers on Anna Nagar route,Public Transport,6
No water connection provided despite application in the government school area,Water Supply,11
Illegal dumping of waste is happening near Temple Street,Waste Management,10
Water pipe burst near Bazaar Street in Guindy,Water Supply,11
Illegal tree cutting is happening near Ring Road in Sector 5,Environment,3
Encroachment on the lake near Egmore is destroying wetlands,Environment,3
Air pollution levels are high near the factory in Kolathur,Environment,3
Segregated waste is being mixed by collection staff in Tambaram,Waste Management,10
2 street lights have been off for weeks near North Street,Street Lighting,8
School in Phase 2 lacks proper toilet facilities,Education,1
Hospital in Tambaram lacks cleanliness and hygiene,Health,4
Corruption reported in distribution of government scheme benefits in Saidapet,Corruption,0
Official at the Guindy office is demanding money for a certificate,Corruption,0
No waste collection service provided in the government school area colony,Waste Management,10
Streetside electric meter is sparking in Pallavaram,Electricity,2
Stray dogs are attacking residents in Ambattur,Public Safety,5
Newly laid road on Temple Street is already damaged,Road Maintenance,7
Water tanker did not arrive in the panchayat office area as scheduled,Water Supply,11
Street lights are not working on Nehru Street in Sector 5,Street Lighting,8
Dark stretch on Ring Road due to broken street lights,Street Lighting,8
Traffic signal timing is too short at MG Road,Traffic,9
Overcrowded buses are running on the Vadapalani route,Public Transport,6
Open manhole causing danger on School Lane in Velachery,Public Safety,5
Bus frequency has reduced drastically on Ambattur route,Public Transport,6
Power supply tripped and not restored for 4 hours in Kodambakkam,Electricity,2
Corruption reported in distribution of government scheme benefits in Egmore,Corruption,0
"No footpath available on North Street, pedestrians face danger",Road Maintenance,7
Water supply has been irregular in the old bus stand area for 13 weeks,Water Supply,11
Illegal parking is causing traffic jams on Temple Street,Traffic,9
Teacher is absent regularly at the Nungambakkam government school,Education,1
A government official is taking bribes for water connection approvals in the railway station road,Corruption,0
Abandoned building near MG Road is unsafe for children,Public Safety,5
Government hospital near Main Road lacks basic medicines,Health,4
"No signal at the school crossing near North Street, Vadapalani",Traffic,9
A clerk is taking bribes for water connection approvals in Adyar,Corruption,0
"New street light pole is needed on MG Road, Vadapalani",Street Lighting,8
Street light flickers continuously on Gandhi Street,Street Lighting,8
Garbage is overflowing near Main Road in Anna Nagar,Waste Management,10
Teacher is absent regularly at the the housing board colony government school,Education,1
Air pollution levels are high near the factory in Guindy,Environment,3
Frequent traffic congestion on Station Road during peak hours,Traffic,9
Traffic signal timing is too short at Ring Road,Traffic,9
Zebra crossing markings have faded on Bypass Road,Traffic,9
Water body near Chromepet is being polluted by industrial waste,Environment,3
